Time stamp,Value[m],State of value,Interpolation,Absolute value[mAOD],State of absolute value,Interpolation of absolute value,Tags,Comments
01/05/2015 12:00,0.409,G;Ed,102,26.469,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 12:15,0.411,G;Ed,102,26.471,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 12:30,0.412,G;Ed,102,26.472,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 12:45,0.414,G;Ed,102,26.474,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 13:00,0.413,G;Ed,102,26.473,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 13:15,0.41,G;Ed,102,26.47,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 13:30,0.411,G;Ed,102,26.471,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 13:45,0.41,G;Ed,102,26.47,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 14:00,0.411,G;Ed,102,26.471,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 14:15,0.408,G;Ed,102,26.468,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 14:30,0.408,G;Ed,102,26.468,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 14:45,0.407,G;Ed,102,26.467,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 15:00,0.407,G;Ed,102,26.467,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 15:15,0.408,G;Ed,102,26.468,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 15:30,0.407,G;Ed,102,26.467,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 15:45,0.408,G;Ed,102,26.468,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 16:00,0.41,G;Ed,102,26.47,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 16:15,0.408,G;Ed,102,26.468,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 16:30,0.408,G;Ed,102,26.468,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 16:45,0.407,G;Ed,102,26.467,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 17:00,0.407,G;Ed,102,26.467,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 17:15,0.406,G;Ed,102,26.466,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 17:30,0.406,G;Ed,102,26.466,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 17:45,0.407,G;Ed,102,26.467,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 18:00,0.405,G;Ed,102,26.465,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 18:15,0.404,G;Ed,102,26.464,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 18:30,0.404,G;Ed,102,26.464,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 18:45,0.402,G;Ed,102,26.462,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 19:00,0.4,G;Ed,102,26.46,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 19:15,0.399,G;Ed,102,26.459,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 19:30,0.397,G;Ed,102,26.457,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 19:45,0.397,G;Ed,102,26.457,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 20:00,0.399,G;Ed,102,26.459,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 20:15,0.397,G;Ed,102,26.457,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 20:30,0.398,G;Ed,102,26.458,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 20:45,0.396,G;Ed,102,26.456,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 21:00,0.397,G;Ed,102,26.457,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 21:15,0.396,G;Ed,102,26.456,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 21:30,0.398,G;Ed,102,26.458,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 21:45,0.397,G;Ed,102,26.457,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 22:00,0.396,G;Ed,102,26.456,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 22:15,0.397,G;Ed,102,26.457,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 22:30,0.396,G;Ed,102,26.456,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 22:45,0.396,G;Ed,102,26.456,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 23:00,0.397,G;Ed,102,26.457,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 23:15,0.396,G;Ed,102,26.456,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 23:30,0.396,G;Ed,102,26.456,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
01/05/2015 23:45,0.395,G;Ed,102,26.455,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 00:00,0.393,G;Ed,102,26.453,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 00:15,0.392,G;Ed,102,26.452,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 00:30,0.393,G;Ed,102,26.453,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 00:45,0.392,G;Ed,102,26.452,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 01:00,0.392,G;Ed,102,26.452,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 01:15,0.391,G;Ed,102,26.451,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 01:30,0.39,G;Ed,102,26.45,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 01:45,0.391,G;Ed,102,26.451,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 02:00,0.389,G;Ed,102,26.449,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 02:15,0.389,G;Ed,102,26.449,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 02:30,0.387,G;Ed,102,26.447,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 02:45,0.385,G;Ed,102,26.445,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 03:00,0.385,G;Ed,102,26.445,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 03:15,0.384,G;Ed,102,26.444,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 03:30,0.382,G;Ed,102,26.442,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 03:45,0.381,G;Ed,102,26.441,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 04:00,0.381,G;Ed,102,26.441,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 04:15,0.379,G;Ed,102,26.439,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 04:30,0.376,G;Ed,102,26.436,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 04:45,0.376,G;Ed,102,26.436,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 05:00,0.374,G;Ed,102,26.434,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 05:15,0.372,G;Ed,102,26.432,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 05:30,0.373,G;Ed,102,26.433,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 05:45,0.37,G;Ed,102,26.43,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 06:00,0.371,G;Ed,102,26.431,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 06:15,0.366,G;Ed,102,26.426,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 06:30,0.367,G;Ed,102,26.427,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 06:45,0.367,G;Ed,102,26.427,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 07:00,0.366,G;Ed,102,26.426,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 07:15,0.366,G;Ed,102,26.426,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 07:30,0.366,G;Ed,102,26.426,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 07:45,0.367,G;Ed,102,26.427,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 08:00,0.364,G;Ed,102,26.424,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 08:15,0.365,G;Ed,102,26.425,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 08:30,0.363,G;Ed,102,26.423,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 08:45,0.363,G;Ed,102,26.423,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 09:00,0.36,G;Ed,102,26.42,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 09:15,0.361,G;Ed,102,26.421,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 09:30,0.36,G;Ed,102,26.42,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 09:45,0.359,G;Ed,102,26.419,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 10:00,0.358,G;Ed,102,26.418,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 10:15,0.359,G;Ed,102,26.419,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 10:30,0.359,G;Ed,102,26.419,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 10:45,0.357,G;Ed,102,26.417,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 11:00,0.358,G;Ed,102,26.418,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 11:15,0.356,G;Ed,102,26.416,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 11:30,0.361,G;Ed,102,26.421,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 11:45,0.36,G;Ed,102,26.42,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 12:00,0.364,G;Ed,102,26.424,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 12:15,0.362,G;Ed,102,26.422,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 12:30,0.366,G;Ed,102,26.426,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 12:45,0.365,G;Ed,102,26.425,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 13:00,0.369,G;Ed,102,26.429,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 13:15,0.372,G;Ed,102,26.432,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 13:30,0.373,G;Ed,102,26.433,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 13:45,0.376,G;Ed,102,26.436,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 14:00,0.377,G;Ed,102,26.437,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 14:15,0.382,G;Ed,102,26.442,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 14:30,0.383,G;Ed,102,26.443,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 14:45,0.385,G;Ed,102,26.445,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 15:00,0.386,G;Ed,102,26.446,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 15:15,0.384,G;Ed,102,26.444,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 15:30,0.386,G;Ed,102,26.446,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 15:45,0.388,G;Ed,102,26.448,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 16:00,0.385,G;Ed,102,26.445,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 16:15,0.387,G;Ed,102,26.447,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 16:30,0.387,G;Ed,102,26.447,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 16:45,0.387,G;Ed,102,26.447,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 17:00,0.388,G;Ed,102,26.448,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 17:15,0.387,G;Ed,102,26.447,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 17:30,0.385,G;Ed,102,26.445,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 17:45,0.387,G;Ed,102,26.447,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 18:00,0.386,G;Ed,102,26.446,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 18:15,0.385,G;Ed,102,26.445,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 18:30,0.388,G;Ed,102,26.448,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 18:45,0.387,G;Ed,102,26.447,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 19:00,0.387,G;Ed,102,26.447,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 19:15,0.386,G;Ed,102,26.446,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 19:30,0.385,G;Ed,102,26.445,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 19:45,0.387,G;Ed,102,26.447,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 20:00,0.385,G;Ed,102,26.445,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 20:15,0.389,G;Ed,102,26.449,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 20:30,0.388,G;Ed,102,26.448,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 20:45,0.391,G;Ed,102,26.451,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 21:00,0.392,G;Ed,102,26.452,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 21:15,0.393,G;Ed,102,26.453,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 21:30,0.396,G;Ed,102,26.456,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 21:45,0.397,G;Ed,102,26.457,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 22:00,0.401,G;Ed,102,26.461,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 22:15,0.403,G;Ed,102,26.463,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 22:30,0.406,G;Ed,102,26.466,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 22:45,0.412,G;Ed,102,26.472,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 23:00,0.412,G;Ed,102,26.472,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 23:15,0.414,G;Ed,102,26.474,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 23:30,0.414,G;Ed,102,26.474,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
02/05/2015 23:45,0.414,G;Ed,102,26.474,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 00:00,0.416,G;Ed,102,26.476,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 00:15,0.416,G;Ed,102,26.476,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 00:30,0.416,G;Ed,102,26.476,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 00:45,0.416,G;Ed,102,26.476,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 01:00,0.412,G;Ed,102,26.472,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 01:15,0.409,G;Ed,102,26.469,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 01:30,0.405,G;Ed,102,26.465,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 01:45,0.404,G;Ed,102,26.464,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 02:00,0.401,G;Ed,102,26.461,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 02:15,0.403,G;Ed,102,26.463,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 02:30,0.401,G;Ed,102,26.461,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 02:45,0.398,G;Ed,102,26.458,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 03:00,0.397,G;Ed,102,26.457,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 03:15,0.396,G;Ed,102,26.456,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 03:30,0.396,G;Ed,102,26.456,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 03:45,0.392,G;Ed,102,26.452,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 04:00,0.392,G;Ed,102,26.452,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 04:15,0.39,G;Ed,102,26.45,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 04:30,0.389,G;Ed,102,26.449,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 04:45,0.388,G;Ed,102,26.448,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 05:00,0.384,G;Ed,102,26.444,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
03/05/2015 05:15,0.385,G;Ed,102,26.445,G,102,,Instrument reset to gauge board. Drift of 0.008m applied.
